Date,Category,Payment_mode,Description,Amount,Cashback
2025-04-17,sports&fitness,debit card,Talk prepare long treat tough.,22.39,4.1
2025-04-14,medical,prepaid cards,Minute training finally suddenly.,36.76,2.57
2025-04-15,bills,cash,Go turn behind himself idea accept until.,81.82,8.84
2025-04-29,stationary,digital wallets,Character himself identify this bar.,22.25,8.09
2025-04-11,bills,credit card,Personal center full reach note wrong.,73.83,6.15
2025-04-24,investments,upi,Look remain each half available those example kitchen.,77.25,7.39
2025-04-22,vegetables,net banking,Plant edge fill state describe wear allow.,70.8,7.91
2025-04-25,gas,upi,Around watch live figure phone.,70.8,5.06
2025-04-16,subscriptions,wallet,Since part charge.,18.12,7.32
2025-04-02,clothing,mobile payments,Former leg manager social clear build.,90.4,3.02
2025-04-11,bills,cash,Spring hand democratic huge.,22.73,2.34
2025-04-07,stationary,credit card,Without black budget cell about option.,25.16,1.72
2025-04-11,investments,net banking,Never quite position she.,85.82,6.64
2025-04-21,medical,digital wallets,Him during type study reach risk.,37.02,9.41
2025-04-19,investments,mobile payments,Field record sell billion.,99.14,4.3
2025-04-18,vegetables,mobile payments,Husband maintain skill follow.,26.24,9.77
2025-04-15,stationary,wallet,Resource change drive Mr.,90.96,7.41
2025-04-07,home essential,cash,Create price clearly record also six improve.,65.31,8.13
2025-04-26,fruits,prepaid cards,Adult fill tax house she.,47.78,2.4
2025-04-07,memberships,net banking,World meet western change resource speech effort.,60.67,4.85
2025-04-20,emergency funds,wallet,Probably part factor under how word.,89.63,4.13
2025-04-06,sports&fitness,upi,Free religious deal tough.,40.4,8.51
2025-04-05,sports&fitness,prepaid cards,Professor someone big hit choose.,44.07,3.03
2025-04-29,subscriptions,mobile payments,Chance idea property result group person people.,74.13,2.88
2025-04-10,bills,cash,Number season purpose citizen set indicate down.,82.47,4.43
2025-04-18,gas,credit card,Remember computer American professional meet culture level.,54.15,1.67
2025-04-22,gas,mobile payments,Whole street even do head big oil.,58.44,7.32
2025-04-12,subscriptions,wallet,Turn if right mouth.,79.1,9.78
2025-04-22,care products,wallet,Speak else sport option standard try morning hear.,58.28,7.12
2025-04-08,school fees,debit card,Probably have go our these.,28.96,8.65
2025-04-27,memberships,prepaid cards,Congress only important book provide lay.,34.88,9.06
2025-04-19,memberships,upi,Organization few whole.,64.09,7.02
2025-04-03,clothing,debit card,Degree learn themselves quickly.,38.96,6.29
2025-04-27,investments,upi,Local may expect number instead.,62.26,2.14
2025-04-08,groceries,digital wallets,Industry level place leg current represent.,17.79,5.69
2025-04-04,emergency funds,credit card,Share son near career successful.,56.66,2.08
2025-04-28,vegetables,net banking,Mention first student turn over cup identify.,50.15,8.04
2025-04-11,fruits,wallet,Rule finally speech sing arrive.,25.35,7.51
2025-04-23,school fees,prepaid cards,Grow happen size mention turn remember.,43.95,2.97
2025-04-09,transportation,net banking,Cultural day both sometimes yeah series.,93.39,9.39
2025-04-04,stationary,credit card,Discover nor decade ready attorney baby best avoid.,81.51,6.89
2025-04-11,memberships,upi,Run its operation response fish cold conference.,93.35,2.98
2025-04-29,groceries,debit card,Unit positive senior appear than.,61.56,6.78
2025-04-24,gas,credit card,Speak accept evidence cause today message.,28.07,4.4
2025-04-07,fruits,digital wallets,Six teacher today religious past charge like.,31.48,3.38
2025-04-11,bills,upi,Message else ground however.,90.73,5.08
2025-04-03,bills,mobile payments,Build safe near newspaper among.,98.22,6.88
2025-04-22,sports&fitness,credit card,Get force goal lot could.,14.99,3.11
2025-05-20,fruits,mobile payments,Tree relate PM sort even.,35.99,4.28
2025-05-11,medical,credit card,Throw just agent rather appear why president.,13.84,7.08
2025-05-21,bills,wallet,Owner police total effect travel task guy.,84.97,3.56
2025-05-14,emergency funds,digital wallets,Single audience well expert work physical appear early.,56.54,6.29
2025-05-04,groceries,wallet,Note month water eight teacher budget spend.,65.29,6.04
2025-05-12,subscriptions,cash,Until represent among city north movie outside.,95.71,7.2
2025-05-25,stationary,upi,Country factor road provide response.,21.89,7.03
2025-05-26,vegetables,cash,Perform will little occur hospital worry.,87.6,3.47
2025-05-07,groceries,digital wallets,Policy safe baby impact second everyone care artist.,21.73,4.4
2025-05-19,subscriptions,credit card,When job local none organization.,51.74,2.48
2025-05-03,groceries,credit card,Push notice theory.,99.29,3.03
2025-05-28,transportation,debit card,Amount body him might.,46.29,3.69
2025-05-10,travel,upi,Avoid account detail what nothing either record my.,20.31,2.68
2025-05-28,clothing,cash,Late shake cell American something economic.,59.6,7.67
2025-05-01,memberships,prepaid cards,Nearly former charge.,80.71,2.5
2025-05-05,vegetables,net banking,Leg skill state success boy camera.,34.87,4.17
2025-05-23,transportation,cash,Man stand stand risk less.,63.8,7.34
2025-05-27,home essential,cash,Find partner argue end western.,22.7,2.18
2025-05-01,gas,mobile payments,Agent know ever.,41.46,2.96
2025-05-23,bills,wallet,Western social design customer newspaper officer.,14.44,3.25
2025-05-23,travel,net banking,Generation personal sit gas.,11.0,8.98
2025-05-27,clothing,prepaid cards,Room vote rise occur all deal.,13.56,7.64
2025-05-17,clothing,mobile payments,Probably give member number enough.,48.89,2.17
2025-05-02,transportation,credit card,Guy same light ground same value similar require.,51.43,8.74
2025-05-08,clothing,digital wallets,Voice eat nothing low include since beautiful.,65.93,3.53
2025-05-28,home essential,upi,Rock civil travel word nor author poor.,37.05,3.2
2025-05-01,home essential,wallet,With present first note.,45.36,8.61
2025-05-06,bills,mobile payments,Upon kitchen learn commercial.,72.42,7.47
2025-05-13,school fees,debit card,Affect watch he usually bill.,14.33,6.53
2025-05-20,fruits,net banking,Benefit generation ready hotel debate fine team.,71.89,7.91
2025-05-22,vegetables,prepaid cards,Indeed available what air.,61.57,8.4
2025-05-02,emergency funds,cash,Goal entire decision for group mission southern.,25.34,9.48
2025-05-24,home essential,prepaid cards,Station the concern want.,14.94,5.98
2025-05-20,emergency funds,cash,Generation sing would star help exist against because.,19.91,1.32
2025-05-01,clothing,digital wallets,Cell sort speech.,14.71,1.3
2025-05-26,medical,digital wallets,Others nor begin decide over each officer.,89.38,8.95
2025-05-01,investments,mobile payments,Would several throw big leave.,83.36,3.28
2025-05-15,memberships,upi,Both agree time various after.,39.36,5.6
2025-05-14,subscriptions,debit card,Also here direction measure natural trial.,49.41,1.45
2025-05-26,home essential,credit card,Learn common professor region page name.,90.43,2.06
2025-05-10,bills,net banking,Idea until eat author.,11.41,3.31
2025-05-06,clothing,debit card,Technology majority though then real.,84.45,3.34
2025-05-03,school fees,prepaid cards,Drive expert seven represent unit face really boy.,14.98,5.34
2025-05-27,fruits,cash,Method pick mouth expect win next cover member.,28.81,8.51
2025-05-27,stationary,wallet,Walk own just ago.,78.92,9.12
2025-05-02,fruits,debit card,After coach specific relationship.,88.66,6.27
2025-05-14,parking,cash,Visit all marriage role poor war.,85.31,3.22
2025-05-27,emergency funds,debit card,Note ball test military.,19.2,8.47
2025-05-15,home essential,debit card,Want assume every majority window about chance whether.,33.04,5.21
2025-05-08,parking,upi,Sort worry view religious decide ten year.,46.85,9.59
2025-05-07,subscriptions,prepaid cards,During paper boy standard whom.,95.77,8.6
2025-05-01,investments,credit card,Large though stage college claim recently central color.,26.76,7.57
2025-05-13,groceries,cash,Score son last pass three.,86.95,3.46
2025-05-15,travel,digital wallets,Audience try air treat.,47.19,9.67
2025-05-11,medical,credit card,These social meeting north about.,27.01,5.25
2025-05-05,travel,debit card,Anything girl want I stuff.,35.41,1.4
2025-05-23,school fees,net banking,Production while tax of open seem.,52.57,6.2
2025-05-07,gas,wallet,Civil station street four.,91.21,3.99
2025-05-25,care products,wallet,Else standard available operation off.,88.79,1.99
2025-05-05,home essential,digital wallets,By detail believe agreement network.,21.76,4.95
2025-05-18,memberships,digital wallets,Rule fill thank.,81.02,1.27
2025-05-01,sports&fitness,prepaid cards,Responsibility interest again skill manage.,10.52,10.0
2025-05-29,groceries,net banking,Make born brother a behavior too religious.,44.72,3.86
2025-05-11,travel,wallet,Consumer generation bad street contain factor recognize.,82.63,7.05
2025-05-18,parking,cash,Act change positive adult mind east.,22.1,3.4
2025-05-10,subscriptions,prepaid cards,Policy and believe free.,65.04,3.24
2025-05-13,fruits,upi,Soon talk when age cut eight.,95.52,8.82
2025-05-22,emergency funds,credit card,Cultural data range notice company.,79.84,9.87
2025-05-15,parking,net banking,So policy popular bar.,42.77,3.42
2025-05-13,bills,cash,Foreign paper finally special job.,95.68,7.03
2025-05-23,emergency funds,mobile payments,Mind include sense paper.,99.79,4.94
2025-05-24,memberships,prepaid cards,Rate movie change phone.,83.98,9.15
2025-05-01,stationary,credit card,Difference feel stand accept exactly rock.,79.11,1.46
2025-05-04,stationary,wallet,Picture nothing sing through agree spend.,21.55,8.53
2025-05-17,bills,mobile payments,Learn TV they cell fact yard position.,69.77,7.64
2025-05-13,subscriptions,credit card,Rich spend Mr.,14.22,4.18
2025-05-26,sports&fitness,net banking,Mother fast left month big all career.,97.11,5.37
2025-05-01,parking,prepaid cards,Century page term know result base.,65.11,1.87
2025-05-10,school fees,upi,Good five heavy fly yard in already community.,86.93,9.74
2025-05-13,vegetables,credit card,Class where conference rich.,16.2,4.67
2025-05-18,groceries,credit card,Throughout majority character learn enjoy support whole.,79.32,2.59
2025-05-30,investments,digital wallets,Significant find statement plan.,79.12,7.45
2025-05-05,subscriptions,credit card,Of their friend address.,32.28,7.69
2025-05-11,school fees,credit card,Peace million shoulder free result not food.,28.09,2.98
2025-05-09,stationary,debit card,Close simple share society face.,24.43,8.08
2025-05-04,care products,prepaid cards,Best health meeting agency thank claim.,16.9,3.86
2025-05-27,school fees,debit card,Key former name ground room either nice writer.,19.55,2.61
2025-05-21,groceries,credit card,Class finally idea can model.,42.56,7.03
2025-05-12,subscriptions,upi,Morning thus song simple PM.,89.73,6.88
2025-05-15,medical,credit card,Force manage note Mrs sign too call sport.,19.28,1.14
2025-05-23,clothing,wallet,Street school mission bed Mrs must.,17.9,4.75
2025-05-24,parking,mobile payments,Either enter church field.,98.07,7.2
2025-05-03,gas,debit card,Stand hand type scene.,36.33,2.23
2025-05-06,medical,digital wallets,Face often series major stand during season.,49.75,6.74
2025-05-29,care products,prepaid cards,Without fund may.,31.98,4.83
2025-05-19,groceries,net banking,Someone read word.,40.61,2.81
2025-05-10,emergency funds,prepaid cards,By Congress office enjoy authority hundred today.,41.32,2.0
2025-05-22,fruits,prepaid cards,Bank far happen near church.,36.98,3.11
2025-05-28,transportation,prepaid cards,Realize within summer talk thank.,78.23,6.35
2025-05-02,emergency funds,upi,Everything two just skin already education during.,26.96,5.55
2025-05-15,gas,net banking,Leader power call well large need.,93.1,8.31
2025-05-06,investments,wallet,Successful western state radio hear.,74.42,9.39
2025-05-08,investments,cash,May usually responsibility ability production science again.,53.26,3.14
2025-05-08,emergency funds,upi,Really energy his so six process prepare.,66.57,6.96
2025-05-06,medical,net banking,Do we smile force.,87.55,2.95
2025-05-18,sports&fitness,debit card,Country line finish.,10.06,7.79
2025-05-08,subscriptions,wallet,Control born general.,28.59,7.91
2025-05-29,memberships,credit card,Already long option live authority create law.,45.8,2.38
2025-05-06,school fees,debit card,Chair run poor couple well cell long.,38.11,6.02
2025-05-06,home essential,wallet,Decade bar hair sure.,95.39,7.43
2025-06-03,travel,mobile payments,Which yeah win success rather finally.,26.21,6.95
2025-06-16,transportation,cash,Policy well respond impact top.,17.21,4.6
2025-06-26,home essential,digital wallets,The describe different guy.,23.53,2.69
2025-06-27,sports&fitness,upi,Take performance onto very window last.,66.74,8.52
2025-06-16,memberships,credit card,Author government during education high attack.,38.29,8.84
2025-06-16,gas,mobile payments,Often contain accept week common your quality.,39.78,8.85
2025-06-28,transportation,prepaid cards,Public mother agree institution information environmental past.,31.22,4.81
2025-06-10,school fees,mobile payments,Family former movement begin look different less head.,70.08,8.84
2025-06-25,investments,debit card,Respond senior cell.,88.28,8.95
2025-06-12,groceries,debit card,Them agency strong.,21.07,9.65
2025-06-25,home essential,upi,Reality woman him crime production.,32.43,8.14
2025-06-21,school fees,prepaid cards,Add interview tell mouth.,92.31,8.98
2025-06-25,sports&fitness,debit card,Especially piece people then box.,54.92,9.21
2025-06-24,school fees,digital wallets,Which ahead leader.,29.98,5.77
2025-06-01,medical,upi,Ahead oil mention generation miss mission generation news.,19.01,5.74
2025-06-11,travel,digital wallets,Some pull practice why pull.,44.28,6.95
2025-06-20,care products,cash,Know attention shoulder.,56.31,1.08
2025-06-18,emergency funds,upi,Feeling current work you we chair.,29.11,4.81
2025-06-01,groceries,mobile payments,Away knowledge size clearly girl.,23.78,2.97
2025-06-15,memberships,upi,At relationship leave decade easy.,41.17,7.33
2025-06-13,fruits,prepaid cards,Mind natural them today industry peace fear station.,64.59,3.27
2025-06-15,travel,wallet,Again to strategy study.,67.24,4.57
2025-06-20,school fees,upi,Former move the situation.,55.57,3.55
2025-06-13,memberships,prepaid cards,They light outside later determine large.,29.59,5.85
2025-06-03,vegetables,debit card,What blue page across kid receive.,18.71,9.9
2025-06-04,care products,debit card,As best though edge hit.,94.24,7.45
2025-06-25,medical,mobile payments,Identify respond spring west difficult industry.,54.63,3.99
2025-06-08,emergency funds,net banking,East model teacher write memory.,59.71,4.83
2025-06-02,bills,upi,Poor mission while security identify themselves.,47.35,2.54
2025-06-05,emergency funds,debit card,Hear ok alone present natural.,35.64,9.64
2025-06-24,vegetables,wallet,Leave answer manage throughout among.,31.48,1.74
2025-06-19,vegetables,cash,Course approach country.,24.06,7.3
2025-06-09,gas,prepaid cards,People member fear again few whole.,72.78,2.29
2025-06-18,memberships,mobile payments,Seat accept check red thing fact into tree.,42.23,8.75
2025-06-18,subscriptions,net banking,Tv western someone suggest truth institution.,12.8,2.24
2025-06-27,memberships,digital wallets,Last series professional energy father whom.,71.72,5.14
2025-06-05,home essential,digital wallets,Gun discuss model a marriage result.,41.29,2.07
2025-06-17,school fees,prepaid cards,Individual time forward firm once itself.,78.32,2.92
2025-06-27,emergency funds,debit card,Why still listen change source.,47.18,8.53
2025-06-04,vegetables,upi,Hair develop industry himself customer social any address.,26.5,7.22
2025-06-02,school fees,wallet,Show across coach report like consumer find establish.,37.75,5.53
2025-06-12,fruits,net banking,From where education her.,44.09,8.99
2025-06-21,school fees,cash,Center south part.,93.52,9.59
2025-06-18,transportation,debit card,Official food order whom.,76.9,7.2
2025-06-15,emergency funds,upi,Affect wide position wall.,10.13,2.36
2025-06-26,bills,mobile payments,Wrong along year identify.,61.62,5.03
2025-06-16,medical,wallet,Billion impact far large fly bad.,10.47,2.69
2025-06-24,vegetables,cash,Against tough hard audience democratic adult.,14.47,6.79
2025-06-01,sports&fitness,digital wallets,Sign thus anyone space air per can.,57.86,1.88
2025-06-09,home essential,credit card,Man indicate none expert responsibility item political.,12.08,9.04
2025-06-09,investments,cash,Drive fight father role recently performance.,53.28,3.43
2025-06-17,fruits,upi,Force particularly card him somebody way happy.,66.83,4.55
2025-06-11,emergency funds,cash,Of reason letter boy time traditional especially.,97.13,3.23
2025-06-29,medical,prepaid cards,Property particularly perhaps threat experience.,69.42,1.64
2025-06-25,gas,cash,Leader commercial read different candidate.,14.29,7.52
2025-06-09,bills,debit card,Before soldier do traditional indeed court wish particularly.,81.24,9.29
2025-06-25,parking,net banking,Dark story may full cultural spend deal name.,99.11,4.23
2025-06-05,medical,wallet,Set allow commercial college likely ago course.,45.52,1.53
2025-06-09,sports&fitness,mobile payments,Environment plan left including really by speak.,26.8,6.15
2025-06-05,medical,wallet,Else any key into.,41.51,6.82
2025-06-29,groceries,credit card,Interview public true recently already notice green.,70.32,6.8
2025-06-23,investments,cash,High agent analysis light admit.,73.56,8.68
2025-06-24,investments,prepaid cards,Still soon we authority.,18.78,4.08
2025-06-19,clothing,digital wallets,Individual rise common live example.,14.01,2.17
2025-06-16,vegetables,cash,Well station meet my.,14.31,4.87
2025-06-22,medical,prepaid cards,Reason not statement student town.,42.36,7.01
2025-06-07,emergency funds,credit card,Them order thousand tough environment Democrat.,73.27,6.74
2025-06-18,bills,wallet,Response change specific her stand feel collection.,33.02,3.46
2025-06-24,home essential,debit card,Key less ready the.,65.27,7.07
2025-06-14,vegetables,upi,Approach eye federal hospital political unit.,80.87,4.7
2025-06-16,groceries,net banking,Field letter land.,83.76,4.05
2025-06-07,emergency funds,credit card,Will would attorney collection lawyer far behavior.,11.67,8.44
2025-06-27,fruits,digital wallets,Issue especially tonight wall positive catch.,45.06,2.74
2025-06-04,vegetables,cash,Task draw usually a within pretty alone.,51.66,8.95
2025-06-03,stationary,upi,Effort available whole.,44.46,4.81
2025-06-02,home essential,digital wallets,After act far security from.,94.96,9.86
2025-06-26,bills,mobile payments,Energy job study.,12.93,7.75
2025-06-03,bills,digital wallets,Forget dark western likely room necessary.,23.33,6.15
2025-06-29,care products,wallet,Event more itself people fill green.,56.82,1.92
2025-06-17,school fees,net banking,It exist administration interesting decide able.,37.31,5.57
2025-06-12,school fees,net banking,Affect player away avoid.,30.02,3.72
2025-06-03,transportation,debit card,Low important this central.,73.33,6.87
2025-06-29,parking,debit card,Notice trouble sport wait.,16.41,7.03
2025-06-17,subscriptions,cash,Television tend majority hour company common side.,45.83,7.43
2025-06-22,vegetables,mobile payments,Keep organization direction consumer.,97.52,4.55
2025-06-05,memberships,wallet,Information manager news watch bag begin movie.,82.45,1.62
2025-06-16,care products,mobile payments,Interest visit example statement marriage prepare.,29.75,4.79
2025-06-13,memberships,digital wallets,Leg agree truth.,81.42,8.35
2025-06-10,sports&fitness,debit card,Left beautiful benefit lose.,71.53,9.7
2025-06-11,sports&fitness,upi,We difficult morning police beautiful society five.,46.52,4.68
2025-06-22,vegetables,wallet,Network hope should to fire direction.,40.63,7.62
2025-06-28,care products,mobile payments,Picture thus provide eat eye.,98.49,3.33
2025-06-01,bills,digital wallets,Term force call early ready herself.,53.74,8.5
2025-06-27,memberships,credit card,Rest health executive key beat.,24.87,5.27
2025-06-22,vegetables,credit card,Music Republican where mother system.,14.5,7.6
2025-06-24,investments,wallet,Party themselves exactly mother.,72.65,2.96
2025-06-18,home essential,debit card,However hundred speak may.,30.66,9.73
2025-06-24,transportation,net banking,White everyone single different today music.,53.24,8.99
2025-06-21,bills,net banking,Thus wrong film one event option.,19.19,6.66
2025-06-08,sports&fitness,upi,Find movement prepare us for maybe inside card.,81.83,8.46
2025-06-28,clothing,credit card,Order majority half sure agree behind participant.,75.9,2.45
2025-06-28,gas,net banking,Democrat tax nice other center off.,12.26,4.53
2025-06-01,home essential,cash,Skill meeting member model.,48.85,9.45
2025-06-07,groceries,credit card,Star start ten.,68.97,6.4
2025-06-21,bills,debit card,Scene space image hour.,39.51,2.03
2025-06-29,home essential,prepaid cards,Control least second PM whether rate.,16.59,4.48
2025-06-19,groceries,debit card,Day possible it make never.,23.98,4.48
2025-06-11,fruits,cash,Exactly perhaps loss couple place that.,31.84,7.1
2025-06-01,gas,upi,Property medical company long civil account former.,97.83,3.52
2025-06-19,investments,credit card,During than group compare collection stage partner.,34.71,7.96
2025-07-30,vegetables,debit card,Job imagine improve season election discover.,77.77,1.01
2025-07-12,school fees,digital wallets,Point here son rock address better.,78.51,5.72
2025-07-18,subscriptions,digital wallets,However into too.,77.01,6.51
2025-07-01,groceries,mobile payments,As us course special produce learn.,23.49,3.19
2025-07-19,subscriptions,upi,Author couple lot.,33.38,8.98
2025-07-20,memberships,wallet,Growth energy memory early dog with.,45.24,9.06
2025-07-09,bills,debit card,Mission side number finally put although.,38.5,8.59
2025-07-24,vegetables,cash,Worker finish its yes evening.,86.38,5.15
2025-07-09,clothing,upi,Shoulder past can about.,93.62,3.38
2025-07-03,stationary,debit card,Evidence pressure detail.,91.83,3.45
2025-07-23,vegetables,debit card,Eight arm kitchen build possible line.,81.62,1.56
2025-07-13,groceries,digital wallets,Address social born process.,10.74,4.99
2025-07-27,medical,digital wallets,Explain pick example fire.,47.17,3.33
2025-07-13,bills,credit card,Author forget international attorney word remain.,94.7,2.58
2025-07-24,emergency funds,net banking,Woman beat both out impact.,38.22,8.17
2025-07-23,gas,credit card,Born we open order right condition notice.,70.99,7.15
2025-07-04,investments,cash,Opportunity leader game assume in example.,15.92,8.65
2025-07-21,parking,wallet,Although sometimes especially walk list friend information.,25.41,6.55
2025-07-13,subscriptions,digital wallets,Leg painting own in person.,17.43,6.57
2025-07-16,bills,prepaid cards,Particularly here whatever age forward course.,29.16,7.88
2025-07-09,bills,cash,Kind vote do rich election music.,56.46,2.88
2025-07-15,memberships,debit card,Note future political guy professor production positive.,90.72,1.77
2025-07-11,transportation,wallet,Candidate central five prevent if.,91.59,4.19
2025-07-24,stationary,debit card,Hot dark nation memory condition age.,40.23,8.49
2025-07-16,home essential,net banking,Must respond southern send.,61.92,5.9
2025-07-13,travel,net banking,Join green role national full be teach.,87.14,7.34
2025-07-27,school fees,upi,Page news rich dog western than no.,76.36,7.49
2025-07-23,parking,digital wallets,Agree best religious away law partner course.,14.01,3.83
2025-07-16,stationary,debit card,Sure various away medical.,20.05,9.38
2025-07-16,school fees,upi,Region soldier run their price quite modern.,85.15,9.38
2025-07-19,clothing,debit card,Enter miss idea plant.,34.76,4.7
2025-07-18,transportation,debit card,Remain stand sense born also reduce.,28.47,5.96
2025-07-04,home essential,credit card,Modern teacher big number author dark interesting.,69.41,5.69
2025-07-17,groceries,upi,Statement your American.,66.35,3.42
2025-07-07,home essential,digital wallets,Here marriage size.,69.7,5.87
2025-07-01,fruits,cash,Every build just owner task him.,38.05,2.13
2025-07-12,groceries,debit card,Field reflect hard hot pass.,46.72,5.08
2025-07-02,subscriptions,cash,Role off lay focus care push.,98.92,7.99
2025-07-13,subscriptions,cash,Put color live think together foot.,33.9,5.99
2025-07-10,sports&fitness,digital wallets,Leader ahead onto material.,96.18,2.54
2025-07-15,school fees,cash,Heavy thought energy.,69.25,5.72
2025-07-06,care products,prepaid cards,I major difficult eye.,59.34,7.94
2025-07-12,care products,upi,Cut back ball scene who.,85.22,7.08
2025-07-16,travel,digital wallets,Participant east wife modern former.,99.18,8.73
2025-07-15,investments,upi,Ball pretty outside scientist character.,61.59,7.68
2025-07-15,vegetables,cash,Step cut according soon idea approach peace.,38.21,4.01
2025-07-07,gas,mobile payments,Technology someone home seat.,93.43,2.04
2025-07-17,investments,digital wallets,Rich action reduce him imagine shake color.,51.78,7.84
2025-07-19,stationary,cash,Different issue give door office rate clear.,15.73,4.64
2025-07-18,groceries,mobile payments,Outside human administration.,63.2,9.3
2025-07-02,emergency funds,prepaid cards,Lawyer choice success effort arrive worry travel.,68.68,3.73
2025-07-28,stationary,cash,Nature movie political.,11.84,3.09
2025-07-03,fruits,cash,Ground growth response today method seven fact.,43.02,3.2
2025-07-07,clothing,net banking,Player land career clearly participant hold.,55.03,6.16
2025-07-30,transportation,wallet,Office laugh appear others.,69.37,2.47
2025-07-08,memberships,wallet,Score hair air establish difference interest.,73.66,7.09
2025-07-06,parking,wallet,Significant Republican particularly tend per pretty improve.,57.29,6.71
2025-07-22,vegetables,prepaid cards,Station cultural wide why maintain continue himself.,90.55,1.86
2025-07-13,medical,wallet,Attention wear quality care author buy.,54.23,5.75
2025-07-02,gas,digital wallets,Pull kid along little she score science.,43.02,1.75
2025-07-22,home essential,net banking,Hold cause generation ten two main.,59.33,9.88
2025-07-11,transportation,cash,Reflect value around million word word fact.,48.21,5.5
2025-07-23,travel,credit card,Including between more agreement federal.,62.6,9.8
2025-07-10,parking,prepaid cards,Beyond type health consumer girl.,51.42,8.54
2025-07-29,investments,prepaid cards,Cost heart glass.,66.37,2.52
2025-07-11,home essential,digital wallets,Spend market while day car.,63.92,7.15
2025-07-18,subscriptions,digital wallets,Strategy task act direction cut mean camera.,93.18,2.29
2025-07-04,travel,mobile payments,Movie fine analysis national majority what occur.,19.25,4.54
2025-07-29,bills,wallet,I hot reveal together.,84.77,2.88
2025-07-16,vegetables,credit card,Himself least key the threat.,47.05,4.44
2025-07-29,transportation,credit card,Performance light mother fly.,59.31,4.36
2025-07-07,bills,credit card,By else bit risk economy.,46.65,2.64
2025-07-19,investments,mobile payments,Draw single five plant whatever lay attention.,75.39,3.89
2025-07-21,subscriptions,mobile payments,Which yet player scene art effort beat inside.,32.42,5.42
2025-07-26,gas,prepaid cards,Morning into hand evidence.,81.66,3.49
2025-07-24,investments,credit card,Fight nearly way budget.,14.92,4.66
2025-07-10,investments,net banking,Inside shake subject onto commercial act.,36.86,6.82
2025-07-03,vegetables,net banking,Behavior she at join buy reality movement.,63.34,5.69
2025-07-08,stationary,debit card,Feel keep candidate ball.,41.81,7.53
2025-07-13,sports&fitness,mobile payments,Care let while artist drop community state.,19.08,6.72
2025-07-14,parking,wallet,Key nature mention.,89.34,4.82
2025-07-28,bills,digital wallets,Seem create pick just international.,70.74,8.49
2025-07-13,clothing,cash,Home mother military.,80.96,2.44
2025-07-14,sports&fitness,debit card,Goal region program study none.,86.24,6.93
2025-07-23,subscriptions,net banking,Project senior left.,96.38,6.42
2025-07-25,bills,upi,Account evidence air thank notice.,78.48,3.16
2025-07-20,transportation,cash,Body forward every.,96.97,1.44
2025-07-28,groceries,debit card,Future still buy piece grow.,86.22,1.81
2025-07-04,groceries,net banking,Between my position buy away Democrat.,87.35,4.34
2025-07-21,bills,mobile payments,Movie point agreement some charge I.,72.86,5.35
2025-07-20,clothing,debit card,Include he term price.,95.18,1.56
2025-07-15,medical,net banking,First factor toward nothing notice.,68.43,4.18
2025-07-18,sports&fitness,digital wallets,Moment be us song meeting Mrs.,62.85,9.18
2025-07-06,home essential,mobile payments,Perform more material drug try statement.,36.07,6.36
2025-07-01,parking,net banking,Turn oil own usually or remember.,58.1,4.79
2025-07-23,travel,net banking,Thing meeting available appear city.,65.63,1.17
2025-07-05,gas,wallet,Necessary mean just middle.,54.92,6.02
2025-07-12,bills,net banking,Establish heart guess few risk bed.,64.76,1.23
2025-07-22,medical,net banking,Maintain bank table dream throughout contain development.,11.74,6.21
2025-07-12,vegetables,prepaid cards,Nature for window seven town.,10.72,4.88
2025-07-21,stationary,net banking,Provide job name work boy.,29.22,2.48
2025-07-28,gas,cash,Western detail make build three wrong law.,85.21,3.67
2025-07-14,emergency funds,cash,All property part century imagine activity another kid.,69.59,3.2
2025-07-01,school fees,mobile payments,Account either staff knowledge live investment.,45.36,8.66
2025-07-26,memberships,credit card,Risk under allow exist.,98.01,6.85
2025-07-07,memberships,net banking,Almost turn maintain town beat agency already.,74.51,1.83
2025-07-20,fruits,upi,Scientist specific unit similar.,28.44,2.62
2025-07-17,gas,cash,Their hold it program.,43.87,3.31
2025-07-22,vegetables,cash,Throughout trade senior rise care within.,79.45,9.15
2025-07-10,emergency funds,prepaid cards,These treat once whose.,29.96,7.27
2025-08-05,vegetables,digital wallets,Grow accept hope we policy role serious hold.,85.51,4.28
2025-08-01,investments,debit card,Whole for look dark of energy.,77.75,8.47
2025-08-30,stationary,wallet,Mission poor much others wind surface.,11.25,2.3
2025-08-26,parking,digital wallets,Call mother local town child.,59.92,8.19
2025-08-13,clothing,digital wallets,Despite check face material born.,15.18,7.89
2025-08-14,emergency funds,credit card,Summer travel newspaper different.,58.9,3.53
2025-08-06,gas,wallet,Professor onto century local mention customer future final.,84.47,9.12
2025-08-03,parking,net banking,Necessary tell talk seem house begin.,25.31,7.15
2025-08-30,memberships,prepaid cards,Quality money allow.,81.54,3.35
2025-08-12,school fees,debit card,Real enough hundred number possible drive.,31.91,2.23
2025-08-09,fruits,credit card,Customer whom fall enjoy give heavy.,37.82,9.81
2025-08-07,gas,mobile payments,Whole political market none soldier field.,83.12,7.5
2025-08-22,school fees,wallet,Suggest eight yet get.,81.01,7.6
2025-08-18,sports&fitness,upi,How trade time news performance crime.,81.65,2.99
2025-08-16,emergency funds,mobile payments,Cell throw little leader anything.,53.63,2.61
